Code,Number,Material,MaterialClass,DataFile,ResultDir,InputFileDir,ExpFileDir,ReferenceExposure,ReferenceThickness,ReferenceTime,ReferenceHRRPUA,ValidationTimes,ValidationHrrpuaColumns,ValidationFluxes,Density,Conductivity,SpecificHeat,Emissivity,Thickness,CharFraction,HeatOfCombustion,IgnitionTemperature,IgnitionTemperatureBasis,HeaderRows,FYI
s,0,JH_Plywood,Wood-Based,"""../data/jh_materials/JH_FRA_materials_plywood_cone.csv""",,,,50,0.00635,Time,50,Time|Time|Time|Time|Time|Time|Time,11|13|15|20|25|50|75,11|13|15|20|25|50|75,625,0.295,3.131,1,0.00635|0.00635|0.00635|0.00635|0.00635|0.00635|0.00635,0.2,21.6,Calculate,11,2,Scaled Compartment Plywood
d,1,JH_Plywood,Wood-Based,"""../data/jh_materials/JH_FRA_materials_plywood_cone.csv""",,,,50,0.00635,Time,50,Time|Time|Time,25|50|75,25|50|75,625,0.295,3.131,1,0.00635|0.00635|0.00635,0.2,21.6,Calculate,25,2,Scaled Compartment Plywood
d,2,JH_Acrylic,Polymers,"""../data/jh_materials/JH_FRA_materials_acrylic_cone.csv""",,,,50,0.0045,Time,50,Time|Time|Time,25|50|75,25|50|75,1178,0.2405,0.6232,0.8812,0.0045|0.0045|0.0045,0.01,24.9,Calculate,25|50,1,Item 4 - LuciteLux LED White
d,3,JH_CPS Balsa Facesheet,Mixtures,"""../data/jh_materials/JH_FRA_materials_cps_balsa_facesheet_cone.csv""",,,,50,0.0159,Time,50,Time|Time|Time,35|50|75,35|50|75,630,0.3918,0.6233,0.7,0.0159|0.0159|0.0159,0.28,11.4,Calculate,35,1,Item 3 - CPS Balsa with face sheet
s,4,JH_CPS Plywood,Wood-Based,"""../data/jh_materials/JH_FRA_materials_cps_plywood_cone.csv""",,,,50,0.0127,Time,50,Time|Time|Time,25|50|75,25|50|75,630,0.3918,0.6233,0.9378,0.0127|0.0127|0.0127,,,Calculate,25,1,Item 2 - CPS Plywood no face sheet
d,5,JH_CPS Plywood Facesheet,Mixtures,"""../data/jh_materials/JH_FRA_materials_cps_plywood_facesheet_cone.csv""",,,,50,0.0127,Time,50,Time|Time|Time,35|50|75,35|50|75,630,0.3918,0.5129,0.7,0.0127|0.0127|0.0127,0.22,10.2,Calculate,50,1,Item 2 - CPS Plywood with face sheet
d,6,JH_PC Blend,Polymers,"""../data/jh_materials/JH_FRA_materials_pc_blend_cone.csv""",,,,50,0.0045,Time,50,Time|Time|Time,35|50|75,35|50|75,1320,0.8948,0.6658,0.9253,0.0045|0.0045|0.0045,0.41,24.5,Calculate,35|50|75,1,Item 5 - Bayblend MTR AG
d,7,JH_Phenolic Resin Fiberglass Composite,Mixtures,"""../data/jh_materials/JH_FRA_materials_phenolic_resin_fiberglass_composite_cone.csv""",,,,50,0.00327,Time,50,Time|Time|Time,35|50|75,35|50|75,1846,0.346,1.29,0.8883,0.00327|0.00327|0.00327,0.79,23.9,Calculate,50,1,Item 7 - Norplex NP504
d,8,JH_PVC Blend,Polymers,"""../data/jh_materials/JH_FRA_materials_pvc_blend_cone.csv""",,,,50,0.00327,Time,50,Time|Time|Time,25|50|75,25|50|75,1314,0.2896,0.4243,0.8804,0.00327|0.00327|0.00327,0.37,21.4,Calculate,25|50,1,Item 1 - Kydex K2200LT
d,9,JH_Vinyl Ester Resin FRP,Mixtures,"""../data/jh_materials/JH_FRA_materials_vinyl_ester_resin_frp_cone.csv""",,,,50,0.0045,Time,50,Time|Time|Time,35|50|75,35|50|75,1600,0.5441,4,0.8,0.0045|0.0045|0.0045,0.51,19.4,Calculate,35,1,Item 6 - Miles Fireblock FRP
d,10,JH_Black PMMA,Polymers,"""../data/jh_materials/JH_NIJ_materials_BlackPMMA_cone.csv""",,,,50,0.0092,Time,50,Time|Time|Time,25|50|70,25|50|70,1154,0.1171,1.5214,0.9495,0.0092|0.0092|0.0092,0,23.3,Calculate,25,1,NIJ
d,11,JH_Cardboard,Others,"""../data/jh_materials/JH_NIJ_materials_cardboard_cone.csv""",,,,50,0.0041,Time,50,Time|Time|Time,25|50|70,25|50|70,128,0.232,0.6889,0.9278,0.0041|0.0041|0.0041,0.18,12,Calculate,25,1,NIJ
d,12,JH_FRP,Mixtures,"""../data/jh_materials/JH_NIJ_materials_frp_cone.csv""",,,,50,0.0127,Time,50,Time|Time|Time,25|50|70,25|50|70,1897,0.3901,1.4121,0.95,0.0127|0.0127|0.0127,0.75,20,Calculate,25,1,NIJ
d,13,JH_MDF,Wood-Based,"""../data/jh_materials/JH_NIJ_materials_mdf_cone.csv""",,,,50,0.0192,Time,50,Time|Time|Time,25|50|70,25|50|70,688,0.3073,0.4037,0.988,0.0192|0.0192|0.0192,0.19,12.8,Calculate,25|50|70,1,NIJ
d,14,JH_OSB,Wood-Based,"""../data/jh_materials/JH_NIJ_materials_osb_cone.csv""",,,,50,0.0161,Time,50,Time|Time|Time,25|50|70,25|50|70,573,0.3835,0.6301,0.9266,0.0161|0.0161|0.0161,0.12,12.8,Calculate,25,1,NIJ
d,15,JH_White Pine,Wood-Based,"""../data/jh_materials/JH_NIJ_materials_whitePine_cone.csv""",,,,50,0.0191,Time,50,Time|Time|Time,25|50|70,25|50|70,499,0.3121,0.5963,0.9035,0.0191|0.0191|0.0191,0.09,12,Calculate,25,1,NIJ
d,16,JH_White Spruce,Wood-Based,"""../data/jh_materials/JH_NIJ_materials_whiteSpruce_cone.csv""",,,,50,0.03722,Time,50,Time|Time|Time,25|50|70,25|50|70,430,0.2428,1.104,0.9009,0.03722|0.03722|0.03722,0.16,12,Calculate,25,1,NIJ
